onset	duration	event_type	blink	message
5082554	12.0	saccade	0.0	
5082567	98.0	fixation	0.0	
5082665	15.0	saccade	0.0	
5091375				CS
5082682	9147.0	fixation	0.0	
5091831	29.0	saccade	0.0	
5091866	39.0	fixation	0.0	
5091955	165.0	blink	1.0	
5091899	277.0	saccade	0.0	
5092204	9.0	fixation	0.0	
5092213	6.0	saccade	0.0	
5092219	382.0	fixation	0.0	
5092557	22.0	saccade	0.0	
5092579	152.0	fixation	0.0	
5092733	23.0	saccade	0.0	
5092755	152.0	fixation	0.0	
5092907	10.0	saccade	0.0	
5092922	370.0	fixation	0.0	
5093287	25.0	saccade	0.0	
5093326	998.0	fixation	0.0	
5094370	18.0	blink	1.0	
5094332	160.0	saccade	0.0	
5094500	380.0	fixation	0.0	
5094921	130.0	blink	1.0	
5094886	206.0	saccade	0.0	
5095096	347.0	fixation	0.0	
5095444	25.0	saccade	0.0	
5095469	195.0	fixation	0.0	
5095664	21.0	saccade	0.0	
5095685	119.0	fixation	0.0	
5095805	23.0	saccade	0.0	
5095828	217.0	fixation	0.0	
5096046	17.0	saccade	0.0	
5096063	512.0	fixation	0.0	
5096576	23.0	saccade	0.0	
5096598	198.0	fixation	0.0	
5096796	8.0	saccade	0.0	
5096804	270.0	fixation	0.0	
5097074	20.0	saccade	0.0	
5097094	823.0	fixation	0.0	
5097918	16.0	saccade	0.0	
5097934	237.0	fixation	0.0	
5098172	9.0	saccade	0.0	
5098188	192.0	fixation	0.0	
5098372	26.0	saccade	0.0	
5098409	663.0	fixation	0.0	
5099062	16.0	saccade	0.0	
5099079	1570.0	fixation	0.0	
5100650	21.0	saccade	0.0	
5100673	273.0	fixation	0.0	
5100945	18.0	saccade	0.0	
5100963	815.0	fixation	0.0	
5101778	19.0	saccade	0.0	
5101799	925.0	fixation	0.0	
5102724	124.0	saccade	0.0	
5102848	108.0	fixation	0.0	
5102978	300.0	blink	1.0	
5102956	329.0	saccade	0.0	
5103285	40.0	fixation	0.0	
5103325	39.0	saccade	0.0	
5103531	536.0	fixation	0.0	
